a52dec 0.7.4-11
haskell-iproute 1.7.11-20
haskell-kan-extensions 5.2.2-27
haskell-lens 5.0.1-19
haskell-libmpd 0.10.0.0-33
haskell-memory 0.16.0-10
haskell-mime-types 0.1.0.9-12
haskell-monad-loops 0.4.3-23
haskell-mono-traversable 1.0.15.1-138
haskell-netlink 1.1.1.0-8
haskell-network 3.1.2.2-1
haskell-network-uri 2.6.4.1-26
haskell-old-locale 1.0.0.7-28
haskell-old-time 1.1.0.3-28
haskell-parallel 3.2.2.0-15
haskell-parsec-numbers 0.1.0-16
haskell-pem 0.2.4-173
haskell-pretty-hex 1.1-7
haskell-primitive 0.7.1.0-139
haskell-profunctors 5.6.2-27
haskell-random 1.2.0-233
haskell-reflection 2.1.6-89
haskell-regex-base 0.94.0.1-2
haskell-regex-compat 0.95.2.1-2
haskell-regex-posix 0.96.0.0-10
haskell-resourcet 1.2.4.2-88
haskell-safe-exceptions 0.1.7.1-78
haskell-scientific 0.3.7.0-6
haskell-semigroupoids 5.3.5-45
haskell-setlocale 1.0.0.10-2
haskell-socks 0.6.1-118
haskell-split 0.2.3.4-138
haskell-splitmix 0.1.0.3-119
haskell-statevar 1.2.1-3
haskell-streaming-commons 0.2.2.1-87
haskell-strict 0.4.0.1-59
haskell-tagged 0.8.6.1-3
haskell-th-abstraction 0.4.2.0-3
haskell-th-compat 0.1.2-19
haskell-th-lift 0.8.2-8
haskell-these 1.1.1.1-86
haskell-time-compat 1.9.6-6
haskell-timezone-olson 0.2.0-4
haskell-timezone-series 0.1.9-10
haskell-tls 1.5.5-34
haskell-transformers-base 0.4.5.2-155
haskell-transformers-compat 0.6.6-4
haskell-typed-process 0.2.6.0-120
haskell-unliftio-core 0.2.0.1-7
haskell-unordered-containers 0.2.14.0-6
haskell-utf8-string 1.0.2-43
haskell-uuid-types 1.0.5-10
haskell-vector 0.12.3.0-23
haskell-vector-algorithms 0.8.0.4-58
haskell-void 0.7.3-96
haskell-x11 1.10-2
haskell-x11-xft 0.3.1-166
haskell-x509 1.7.5-153
haskell-x509-store 1.6.7-152
haskell-x509-system 1.6.6-220
haskell-x509-validation 1.6.11-152
haskell-xml-conduit 1.9.1.1-14
haskell-xml-types 0.3.8-6
haskell-zlib 0.6.2.3-26
haveged 1.9.14-1
hdparm 9.62-1
herbstluftwm 0.9.3-1
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
hsetroot 1.0.5-1
htop 3.0.5-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hw-probe 1.5-1
hwids 20210613-1
hwinfo 21.76-1
hwloc 2.5.0-1
hyphen 2.8.8-3
i3-gaps 4.19.1-1
i3blocks 1.5-3
i3lock-color 2.13.c.4-1
i3status 2.13-3
iana-etc 20210728-1
icu 69.1-1
ijs 0.35-3
imagemagick 7.1.0.6-1
imath 3.1.3-1
imlib2 1.7.3-1
iniparser 4.1-3
intel-ucode 20210608-1
intltool 0.51.0-6
inxi 3.3.06.1-1
iproute2 5.14.0-1
iptables 1:1.8.7-1
iputils 20210722-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
ipython 7.27.0-1
irssi 1.2.3-2
iso-codes 4.7.0-1
itstool 1:2.0.6-2
iw 5.9-1
jack2 1.9.19-2
jansson 2.13.1-1
jasper 2.0.33-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk11-openjdk 11.0.12.u7-1
jfsutils 1.1.15-7
jq 1.6-4
jre11-openjdk 11.0.12.u7-1
jre11-openjdk-headless 11.0.12.u7-1
js78 78.13.0-1
json-c 0.15-1
json-glib 1.6.6-1
jsoncpp 1.9.4-1
jupyter 4.6.3-2
jupyter-nbclient 0.5.3-1
jupyter-nbconvert 6.1.0-1
jupyter-nbformat 5.1.3-1
jupyter-notebook 6.4.3-1
jupyter-widgetsnbextension 1:3.5.1-3
jupyter_console 6.4.0-1
jupyterlab_pygments 0.1.2-2
kaccounts-integration 21.08.1-1
kactivities 5.85.0-1
kactivities-stats 5.85.0-1
kactivitymanagerd 5.22.5-1
karchive 5.85.0-1
kate 21.08.1-1
kauth 5.85.0-1
kbd 2.4.0-2
kbookmarks 5.85.0-1
kcmutils 5.85.0-1
kcodecs 5.85.0-1
kcolorpicker 0.1.6-1
kcompletion 5.85.0-1
kconfig 5.85.0-1
kconfigwidgets 5.85.0-1
kcontacts 1:5.85.0-1
kcoreaddons 5.85.0-1
kcrash 5.85.0-1
kcron 21.08.1-1
kdbusaddons 5.85.0-1
kde-cli-tools 5.22.5-1
kde-gtk-config 5.22.5-1
kde-system-meta 21.08-1
kdeclarative 5.85.0-1
kdeconnect 21.08.1-1
kdecoration 5.22.5-1
kded 5.85.0-1
kdelibs4support 5.85.0-1
kdenetwork-filesharing 21.08.1-2
kdeplasma-addons 5.22.5-1
kdesu 5.85.0-1
kdnssd 5.85.0-1
kdoctools 5.85.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
kemoticons 5.85.0-1
keyutils 1.6.3-1
kfilemetadata 5.85.0-1
kgamma5 5.22.5-1
kglobalaccel 5.85.0-1
kguiaddons 5.85.0-1
khelpcenter 21.08.1-1
kholidays 1:5.85.0-1
khotkeys 5.22.5-1
khtml 5.85.0-1
ki18n 5.85.0-1
kiconthemes 5.85.0-1
kidletime 5.85.0-1
kimageannotator 0.5.1-1
kinfocenter 5.22.5-1
kinit 5.85.0-1
kio 5.85.0-1
kio-extras 21.08.1-1
kio-fuse 5.0.1-1
kirigami2 5.85.0-1
kitemmodels 5.85.0-1
kitemviews 5.85.0-1
kitty 0.23.1-1
kitty-terminfo 0.23.1-1
kjobwidgets 5.85.0-1
kjs 5.85.0-1
kmenuedit 5.22.5-1
kmod 29-1
knewstuff 5.85.0-1
knotifications 5.85.0-1
knotifyconfig 5.85.0-1
konsole 21.08.1-1
kpackage 5.85.0-1
kparts 5.85.0-1
kpeople 5.85.0-1
kpeoplevcard 0.1-1
kpmcore 21.08.1-1
kpty 5.85.0-1
kquickcharts 5.85.0-1
krb5 1.19.1-1
kross 5.85.0-1
krunner 5.85.0-1
kscreen 5.22.5-1
kscreenlocker 5.22.5-1
kservice 5.85.0-1
ksshaskpass 5.22.5-1
ksystemlog 21.08.1-1
ksystemstats 5.22.5-1
ktexteditor 5.85.0-1
ktextwidgets 5.85.0-1
ktorrent 21.08.1-1
kunitconversion 5.85.0-1
kuserfeedback 1.0.0-1
kvantum-qt5 0.20.1-1
kwallet 5.85.0-1
kwallet-pam 5.22.5-1
kwayland 5.85.0-1
kwayland-integration 5.22.5-1
kwayland-server 5.22.5-1
kwidgetsaddons 5.85.0-1
kwin 5.22.5-1
kwindowsystem 5.85.0-1
kwrited 5.22.5-1
kxmlgui 5.85.0-1
l-smash 2.14.5-2
lame 3.100-3
lapack 3.10.0-1
laptop-detect 0.16-1
layer-shell-qt 5.22.5-1
lbzip2 2.5-5
lcms2 2.12-1
ldb 2:2.3.0-1
ldns 1.7.1-2
leafpad 0.8.18.1-9
less 1:590-1
libaccounts-glib 1.25-4
libaccounts-qt 1.16-3
libaio 0.3.112-2
libao 1.2.2-5
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.5.2-1
libass 0.15.1-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libavc1394 0.5.4-4
libavif 0.9.2-1
libavtp 0.1.0-2
libblockdev 2.25-2
libbluray 1.3.0-1
libbs2b 3.1.0-7
libbsd 0.11.3-1
libburn 1.5.4-1
libbytesize 2.6-1
libcaca 0.99.beta19-5
libcanberra 0.30+2+gc0620e4-5
libcap 2.53-1
libcap-ng 0.8.2-3
libcbor 0.8.0-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libclc 12.0.1-1
libcloudproviders 0.3.1-2
libcolord 1.4.5-4
libconfig 1.7.3-1
libcroco 0.6.13-2
libcups 1:2.3.3op2-3
libdaemon 0.14-5
libdatrie 0.2.13-1
libdazzle 3.40.0-1
libdbusmenu-glib 16.04.0-4
libdbusmenu-gtk3 16.04.0-4
libdbusmenu-qt5 0.9.3+16.04.20160218-5
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-1
libdmtx 0.7.5-2
libdrm 2.4.107-1
libdv 1.0.0-9
libdvbpsi 1:1.3.3-2
libdvdcss 1.4.3-1
libdvdnav 6.1.1-1
libdvdread 6.1.2-1
libebml 1.4.2-1
libebur128 1.2.6-1
libedit 20210522_3.1-1
libelf 0.185-1
libepoxy 1.5.9-1
libev 4.33-1
libevdev 1.11.0-1
libevent 2.1.12-1
